,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1.0,0.99539,0.85243,0.83398,1.0,0.85243,0.59755,0.60536,0.84356,0.58212,0.56971,0.36946,0.56811,0.41078,0.21266,0.42267,0.18641
1,1.0,1.0,0.93035,-0.10868,1.0,0.50874,0.34432,-0.51685,0.05499,0.33109,-0.13151,-0.18056,-0.20332,-0.20468,-0.1904,-0.16626,-0.13738
2,1.0,1.0,1.0,1.0,0.88965,0.73082,0.85443,0.54591,0.83775,0.75535,0.70887,0.43385,0.57528,0.58984,0.431,0.60436,0.56045
3,1.0,1.0,1.0,0.71216,0.0,0.0,0.0,-1.0,0.54094,-1.0,-0.69975,0.0,1.0,0.51613,1.0,0.25682,-0.32382
4,1.0,1.0,0.9414,0.92106,0.77152,0.52798,0.56409,0.34395,0.5294,0.45107,0.05982,0.02309,0.03286,0.1329,0.02431,-0.05707,-0.04608
5,1.0,0.02337,-0.09924,-0.00763,0.14706,0.03786,0.0,-0.04572,-0.00343,-0.11575,0.01838,0.01519,0.03513,-0.0324,-0.07859,0.0,-0.00039
6,1.0,0.97588,0.94601,0.92806,0.85996,0.79766,0.78225,0.74628,0.57945,0.37852,0.36324,0.31898,0.22792,0.13659,0.04606,-0.04262,-0.13832
7,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
8,1.0,0.96355,1.0,1.0,1.0,0.9257,0.9451,0.90392,0.98305,0.84537,0.75346,0.69637,0.85106,0.57577,0.25435,0.45114,0.38895
9,1.0,-0.01864,0.0,0.0,0.1147,-0.45663,0.0,-0.33656,-0.37133,0.63728,0.0,0.0,-0.14803,0.20645,0.0,0.16595,-0.08208
10,1.0,1.0,1.0,1.0,1.0,1.0,0.96232,0.90711,0.8923,0.69876,0.70645,0.63081,0.55867,0.47211,0.40303,0.30996,0.22995
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,0.99999,1.0,0.94055,0.95735,0.93719,0.94486,0.90137,0.86043,0.82987,0.8408,0.76224,0.65723,0.68714,0.64727
13,1.0,1.0,1.0,0.85492,1.0,1.0,1.0,1.0,1.0,1.0,0.61831,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95603,1.0,1.0
15,1.0,0.50932,1.0,-0.0352,1.0,0.43685,0.0,-1.0,-0.37681,1.0,0.0,0.0,-0.16253,0.39752,0.0,1.0,0.0
16,1.0,0.99645,1.0,0.97811,0.96112,0.99274,0.89323,0.94212,0.88809,0.86104,0.81633,0.83668,0.81329,0.79476,0.7911,0.77122,0.70941
17,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
18,1.0,0.67065,0.66626,0.57197,0.08776,0.63621,0.62099,0.78637,0.58373,0.14395,0.53888,0.5142,0.48838,0.46167,0.43433,0.40663,1.0
19,0.0,1.0,0.0,0.0,1.0,1.0,-0.71875,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92124,0.86473,0.91693,0.9606,0.81874,0.82681,0.75784,0.80448,0.74354
21,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
22,1.0,0.96071,1.0,1.0,0.90169,0.89263,0.8325,0.87534,0.76544,0.75206,0.65961,0.64158,0.55677,0.58051,0.49664,0.5131,0.52099
