,0
0,g
1,g
2,b
3,g
4,b
5,g
6,b
7,g
8,b
9,g
10,b
11,g
12,b
13,g
14,b
15,g
16,b
17,g
18,b
19,g
20,b
21,g
22,b
23,g
24,b
25,g
26,b
27,g
28,b
29,g
30,b
31,g
32,b
33,g
34,b
35,g
36,b
37,g
38,b
39,g
40,b
41,g
42,b
43,g
44,b
45,g
46,b
47,g
48,b
49,g
50,b
51,g
52,b
53,g
54,b
55,g
56,b
57,g
58,b
59,g
60,b
61,g
62,b
63,g
64,b
65,g
66,b
67,g
68,b
69,g
70,b
71,g
72,b
73,g
74,b
75,g
76,b
77,g
78,b
79,g
80,b
81,g
82,b
83,g
84,b
85,g
86,b
87,g
88,b
89,g
90,b
91,g
92,b
93,g
94,b
95,g
96,b
97,g
98,b
99,g
100,b
101,g
102,b
103,g
104,b
105,g
106,b
107,g
108,b
109,g
110,b
111,g
112,b
113,g
114,b
115,g
116,b
117,g
118,b
119,g
120,b
121,g
122,b
123,g
124,b
125,g
126,b
127,g
128,b
129,g
130,b
131,g
132,b
133,g
134,b
135,g
136,b
137,g
138,b
139,g
140,b
141,g
142,b
143,g
144,b
145,g
146,b
147,g
148,b
149,g
150,b
151,g
152,b
153,g
154,g
155,g
156,g
157,g
158,g
159,g
160,g
161,g
162,g
163,g
164,g
165,g
166,g
167,g
168,g
169,g
170,g
171,g
172,g
173,g
174,g
175,g
176,g
177,g
178,g
179,g
180,g
181,g
182,g
183,g
184,g
185,g
186,g
187,g
188,g
189,g
190,g
191,g
192,g
193,g
194,g
195,g
196,g
197,g
198,g
199,g
200,g
201,g
202,g
203,g
204,g
205,g
206,g
207,g
208,g
209,g
210,g
211,g
212,g
213,g
214,g
215,g
216,g
217,g
218,g
219,g
220,g
221,g
222,g
223,g
224,g
225,g
226,g
227,g
228,g
229,g
230,g
231,g
232,g
233,g
234,g
235,g
236,g
237,g
238,g
239,g
240,g
241,g
242,g
243,g
244,g
245,g
246,g
247,g
248,g
249,g
250,g
